"Name"                ,"State"   ,"Runtime","Tags"                  ,"model/subject_model/model_name","Created"                 ,"model/pooler/layer_to_probe","mdl"            ,"compression"
"electric-feather-893","finished","167511" ,"layer:12, trec_ranking","bert-msm-passage"              ,"2022-03-13T15:20:34.000Z","12"                         ,"19227.03125"    ,"5.2010111808776855"
"robust-puddle-889"   ,"finished","157687" ,"layer:11, trec_ranking","bert-msm-passage"              ,"2022-03-11T19:32:14.000Z","11"                         ,"18469.330078125","5.414381504058838"
"breezy-water-887"    ,"finished","151016" ,"layer:10, trec_ranking","bert-msm-passage"              ,"2022-03-10T01:34:49.000Z","10"                         ,"18559.48828125" ,"5.388079643249512"
"brisk-durian-884"    ,"finished","122745" ,"layer:9, trec_ranking" ,"bert-msm-passage"              ,"2022-03-08T15:28:45.000Z","9"                          ,"22337.125"      ,"4.476851940155029"
"fanciful-brook-892"  ,"finished","126896" ,"layer:8, trec_ranking" ,"bert-msm-passage"              ,"2022-03-13T07:04:01.000Z","8"                          ,"23183.705078125","4.3133745193481445"
"warm-hill-890"       ,"finished","122266" ,"layer:7, trec_ranking" ,"bert-msm-passage"              ,"2022-03-11T21:05:49.000Z","7"                          ,"24305.109375"   ,"4.11436128616333"
"jolly-glade-886"     ,"finished","163056" ,"layer:6, trec_ranking" ,"bert-msm-passage"              ,"2022-03-09T23:47:58.000Z","6"                          ,"25056.998046875","3.990900993347168"
"wobbly-night-883"    ,"finished","116361" ,"layer:5, trec_ranking" ,"bert-msm-passage"              ,"2022-03-08T15:28:17.000Z","5"                          ,"28472.064453125","3.5122146606445312"
"mango-mousse-894"    ,"finished","113428" ,"layer:4, trec_ranking" ,"bert-msm-passage"              ,"2022-03-14T09:20:18.000Z","4"                          ,"31608.646484375","3.163691282272339"
"astral-bird-891"     ,"finished","134986" ,"layer:3, trec_ranking" ,"bert-msm-passage"              ,"2022-03-12T19:50:13.000Z","3"                          ,"34281.8984375"  ,"2.9169912338256836"
"balmy-terrain-888"   ,"finished","133587" ,"layer:2, trec_ranking" ,"bert-msm-passage"              ,"2022-03-11T06:43:24.000Z","2"                          ,"39232.953125"   ,"2.548877716064453"
"sunny-firefly-885"   ,"finished","120314" ,"layer:1, trec_ranking" ,"bert-msm-passage"              ,"2022-03-09T21:17:44.000Z","1"                          ,"64657.20703125" ,"1.5466179847717283"
"feasible-cherry-882" ,"finished","107450" ,"layer:0, trec_ranking" ,"bert-msm-passage"              ,"2022-03-08T15:26:19.000Z","0"                          ,"67357.8125"     ,"1.484608769416809"
